entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2021-05-06,2021-07-06,CBK.DE,option_eu,0.54,0.46,4.99,1490.0,27.67,-220.99,-14.83,42,1.54,dte_exit
2021-05-11,2021-06-21,UCG.MI,stock,7.71,7.83,,1086.0,140.923,16.9,1.56,29,2.07,trailing_stop
2021-05-12,2021-05-25,RIO,stock,63.26,60.04,,1087.0,17.1778,-55.37,-5.1,9,0.0,trailing_stop
2021-05-12,2021-05-27,DUK,stock,85.37,83.66,,1087.0,12.7284,-21.81,-2.01,11,0.11,trailing_stop
2021-05-19,2021-06-02,GDX,stock,36.7,36.7,,1088.0,29.6396,-0.0,-0.0,9,0.1,trailing_stop
2021-05-25,2021-07-06,CSL.AX,stock,271.72,258.87,,1082.0,3.9825,-51.18,-4.73,29,1.27,trailing_stop
2021-05-31,2021-06-11,MC.PA,stock,606.47,606.47,,1080.0,1.7807,-0.0,-0.0,9,0.5,trailing_stop
2021-06-02,2021-07-15,NVDA,stock,16.23,18.95,,1080.0,66.5487,181.01,16.76,30,4.25,trailing_stop
2021-06-14,2021-09-20,ADBE,stock,545.59,636.92,,1080.0,1.9794,180.79,16.74,68,5.54,trailing_stop
2021-06-18,2021-07-14,MRK,stock,66.69,66.69,,1080.0,16.1976,-0.0,-0.0,17,0.69,trailing_stop
2021-06-21,2021-09-07,TLT,stock,123.53,125.98,,1082.0,8.7577,21.45,1.98,54,2.41,trailing_stop
2021-07-06,2021-07-19,BNO,stock,19.61,18.61,,805.0,41.076,-41.04,-5.1,9,0.16,trailing_stop
2021-07-06,2021-10-05,HYG,option_us,4.5,3.57,64.66,1128.0,2.51,-232.26,-20.6,64,0.0,dte_exit
2021-07-07,2021-07-21,TIP,stock,107.87,107.87,,805.0,7.467,-0.0,-0.0,10,0.57,trailing_stop
2021-07-07,2021-10-05,XLV,option_us,8.51,5.32,113.25,1128.0,1.32,-422.86,-37.5,63,0.76,dte_exit
2021-07-08,2021-07-30,AMZN,stock,182.36,176.62,,805.0,4.417,-25.37,-3.15,16,0.54,trailing_stop
2021-07-14,2021-09-14,BLK,stock,789.75,804.24,,805.0,1.0199,14.78,1.84,43,2.45,trailing_stop
2021-07-16,2021-08-04,KO,stock,49.06,49.06,,824.0,16.7871,-0.0,-0.0,13,0.62,trailing_stop
2021-07-19,2021-09-07,HON,stock,192.98,192.98,,819.0,4.2465,-0.0,-0.0,35,1.15,trailing_stop
2021-07-21,2021-08-06,AGG,stock,100.44,100.44,,819.0,8.1588,-0.0,-0.0,12,0.8,trailing_stop
2021-07-30,2021-08-19,AMD,stock,101.7,102.66,,817.0,8.0327,7.69,0.94,14,2.4,trailing_stop
2021-08-04,2021-10-05,CS.PA,option_eu,1.59,1.81,17.37,1144.0,7.2,156.53,13.69,44,0.34,dte_exit
2021-08-06,2021-08-19,IFX.DE,stock,33.87,32.15,,817.0,24.1182,-41.62,-5.1,9,0.07,trailing_stop
2021-08-20,2021-09-10,PSA,stock,264.02,264.02,,814.0,3.0814,-0.0,-0.0,14,0.91,trailing_stop
2021-08-23,2021-11-02,SAN.PA,option_eu,5.85,3.51,73.57,1139.0,1.95,-456.47,-40.08,51,0.0,dte_exit
2021-09-07,2021-09-20,EWJ,stock,64.33,64.33,,816.0,12.679,-0.0,-0.0,9,1.33,trailing_stop
2021-09-08,2021-10-05,6501.T,stock,1209.33,1171.55,,816.0,0.6745,-25.48,-3.12,17,1.52,trailing_stop
2021-09-16,2021-10-22,WDS.AX,stock,14.73,16.5,,817.0,55.4604,97.79,11.97,26,4.9,trailing_stop
2021-09-17,2021-11-19,EOG,stock,59.42,70.34,,817.0,13.7528,150.13,18.37,45,4.76,trailing_stop
